Cell	Plate Number	Classification	Percent_Mitochondrial	Clusters
X321_1	P1	engaging	20.2389310958858	2
X322_1	P1	engaging	21.4147907379674	0
X323_1	P1	engaging	19.1760618652402	0
X324_1	P1	engaging	6.75700336379358	0
X325_1	P1	engaging	17.0026794713165	0
X327_1	P1	engaging	18.4831747143145	2
X328_1	P1	engaging	16.9014265316923	0
X330_1	P1	engaging	12.968168226102	3
X331_1	P1	engaging	21.4263755444085	0
X333_1	P1	engaging	15.9511949278003	0
X337_1	P1	engaging	13.9516050326114	3
X338_1	P1	engaging	17.7978133883301	0
X339_1	P1	engaging	17.3059803379197	3
X340_1	P1	engaging	19.1608015448262	4
X341_1	P1	engaging	17.5909730415708	0
X343_1	P1	engaging	20.6637763239502	3
X346_1	P1	engaging	14.2676640482666	0
X347_1	P1	engaging	19.8994928120541	3
X348_1	P1	engaging	19.0244236417086	0
X349_1	P1	engaging	26.9670611619954	0
X350_1	P1	engaging	16.2050234621919	0
X351_1	P1	engaging	16.7335654733386	0
X352_1	P1	engaging	21.4907423705977	3
X354_1	P1	engaging	16.4286560056577	2
X355_1	P1	engaging	20.7866867251748	2
X356_1	P1	engaging	19.482391206332	2
X362_1	P1	engaging	19.3308183255401	3
X363_1	P1	engaging	20.7159830051904	3
X364_1	P1	engaging	10.6126530309924	0
X365_1	P1	engaging	18.1055086786869	0
X366_1	P1	engaging	18.820624027437	2
X367_1	P1	engaging	17.668325221349	0
X368_1	P1	engaging	22.4112965516944	0
X369_1	P1	engaging	11.2665394361432	3
X370_1	P1	engaging	4.39647066179381	0
X371_1	P1	engaging	24.3099988296114	2
X372_1	P1	engaging	15.2644952387325	0
X373_1	P1	engaging	16.4111228322048	0
X374_1	P1	engaging	20.7581087407209	0
X375_1	P1	engaging	19.4665070016374	0
X376_1	P1	engaging	18.8377267450864	2
X377_1	P1	engaging	23.2588190887921	2
X378_1	P1	engaging	18.0989173531097	2
X379_1	P1	engaging	21.1591539172399	2
X380_1	P1	engaging	7.4043205953385	2
X002_2	P2	engaging	13.8079905693159	0
X005_2	P2	engaging	20.8162670511025	0
X009_2	P2	engaging	18.7986968704518	0
X012_2	P2	engaging	21.0952053658189	0
X013_2	P2	engaging	11.0600400874636	4
X014_2	P2	engaging	21.5673601888741	3
X015_2	P2	engaging	22.8631133377091	2
X016_2	P2	engaging	17.0716555432165	0
X017_2	P2	engaging	17.0806291756881	2
X018_2	P2	engaging	14.5226304882341	0
X019_2	P2	engaging	19.8174374861695	2
X020_2	P2	engaging	27.0336423526835	0
X021_2	P2	engaging	29.4140627501713	0
X022_2	P2	engaging	19.0234924938079	2
X023_2	P2	engaging	22.8864667390568	3
X025_2	P2	engaging	25.6729723330737	2
X026_2	P2	engaging	17.4433229180693	0
X027_2	P2	engaging	16.2802529158769	0
X028_2	P2	engaging	25.1485620284758	2
X029_2	P2	engaging	22.495199005241	0
X032_2	P2	engaging	24.6306639376353	2
X034_2	P2	engaging	16.6782660094765	2
X035_2	P2	engaging	17.0258640114003	0
X036_2	P2	engaging	18.4765164936724	0
X037_2	P2	engaging	15.9778488951568	0
X039_2	P2	engaging	21.8703548840556	2
X040_2	P2	engaging	23.9344640295142	0
X041_2	P2	engaging	16.0802355914241	0
X042_2	P2	engaging	22.6652882032166	0
X043_2	P2	engaging	12.39221889039	4
X044_2	P2	engaging	23.8677846130677	2
X045_2	P2	engaging	19.4670148787082	0
X046_2	P2	engaging	20.4801582544059	0
X048_2	P2	engaging	16.5509624157795	0
X049_2	P2	engaging	22.6564289616042	0
X050_2	P2	engaging	24.519811046529	0
X051_2	P2	engaging	16.2783771367013	0
X052_2	P2	engaging	23.9716267482697	0
X053_2	P2	engaging	17.4178186486728	0
X054_2	P2	engaging	19.3266230305948	0
X055_2	P2	engaging	16.6929033561303	6
X056_2	P2	engaging	15.2567001762148	0
X057_2	P2	engaging	16.7292231767277	0
X058_2	P2	engaging	20.9702240054616	2
X061_2	P2	engaging	22.8082590440562	0
X062_2	P2	engaging	28.328689065703	0
X063_2	P2	engaging	22.7462221455715	0
X066_2	P2	engaging	25.7153635897728	3
X067_2	P2	engaging	18.8283125844918	0
X068_2	P2	engaging	22.4170509486297	2
X069_2	P2	engaging	29.7181476215331	0
X070_2	P2	engaging	24.5003503386607	2
X071_2	P2	engaging	8.83899543976784	0
X072_2	P2	engaging	12.6144420792938	3
X074_2	P2	engaging	24.4840735299503	0
X076_2	P2	engaging	17.9749639067942	0
X077_2	P2	engaging	28.5394627289646	2
X078_2	P2	engaging	12.9884211703624	0
X080_2	P2	engaging	23.3578000709766	0
X081_2	P2	engaging	21.7047633285703	0
X082_2	P2	engaging	9.00383166419328	4
X083_2	P2	engaging	18.3933595343942	0
X084_2	P2	engaging	20.0353685010603	0
X086_2	P2	engaging	27.0116149944476	2
X087_2	P2	engaging	13.5041364725157	0
X088_2	P2	engaging	13.4532728376705	0
X090_2	P2	engaging	23.8113267907291	0
X091_2	P2	engaging	10.2128096095274	3
X092_2	P2	engaging	22.0857154627472	0
